Survey number,Date,Time,day_type,Angler code,No. in party,Fishing today Y/N,Start time,End time,number of sets,Total hours,Burbot fishing Y/N,burbot caught,cpue,burbot kept,burbot released,tagged burbot caught,Sample collected Y/N,Gear,Bait,Bait 1,Bait 2,approx catch location,code- catch location,Comment
20,7/21/23,11:30,weekday,A5,2,Y,7/18/23,7/21/23 8:00,5.00,70,Y,0,0,0,0,0,N,set-line,"""chicken gizzards""",chicken gizzards,NA,"""off Balsam Isl""",Balsam,reported that they used the same location and bait as earlier trip so I filled these in as the same answers 
21,7/22/23,10:15,weekend,A19,3,Y,9:00,9:30,JIG,0.5,Y,1,2,1,0,0,N,jigging,"""glow jig and tube""",,NA,"""Balsam Island""",Balsam,
22,7/23/23,11:00,weekend,A19,3,Y,22:00,9:00,1.00,33,Y,1,0.03030303,1,0,0,Y,set-line,"""pike minnow""",NA,NA,"""Balsam Isl""",Balsam,3 lines
23,7/23/23,10:30,weekend,A20,not recorded,Y,21:00-22:00,09:00-09:30,1.00,12.5,Y,1,0.08,1,0,0,N,set-line,"""pike minnow""",pike minnow,NA,"""Balsam Island""",Balsam,
24,7/23/23,13:30,weekend,A21,2,Y,17:30,10:45,1.00,34.5,Y,0,0,0,0,0,N,set-line,"""rainbow trout head and pike minnow body""",rainbow trout head,pike minnow body,NA - did not catch any burbot,NA,
25,7/23/23,16:00,weekend,A22,2+kids,Y,15:00,10:00,1.00,38,Y,2,0.052631579,2,0,0,Y,set-line,"""shrimp""",shrimp,NA,"""bay near Bert's Cabin (both days)""",Kettle Bay,fished for 2x overnights
26,7/31/23,15:00,weekday,A23,4,Y,20:00,8:00,1.00,48,Y,2,0.041666667,2,0,1,N,set-line,"""trout heads""",trout heads,NA,"""right off an island on steep dropoff""",islands (not specified),tagged BB # 7482. 1 night x 4 set-lines
27,8/1/23,11:00,weekday,A24,2,Y,11:00,8:00,1.00,42,Y,1,0.023809524,1,0,0,N,set-line,"""fish parts""",fish parts,NA,"""small island in the middle of the main lake""",islands (not specified),
28,8/1/23,11:15,weekday,A25,3,Y,18:00,8:30,2.00,43.5,Y,2,0.045977011,2,0,1,Y,set-line,"""rainbow trout heads""",rainbow trout heads,NA,"""around Black Spruce Island""",Black Spruce,tagged BB # 7631
29,8/2/23,11:20,weekday,A26,4,Y,"""last night""",10:00,1.00,56,Y,2,0.035714286,2,0,1,Y,set-line,"""whitefish""",whitefish,NA,"""White Spruce south""",White Spruce,
30,8/3/23,15:30,weekday,A27,2,Y,10:00,14:45,2.00,19,Y,1,0.052631579,1,0,1,Y,set-line,"""trout head""",trout head,NA,"""behind island left side half way down lake""",White Spruce,
31,8/4/23,10:45,weekday,A28,5,Y,20:30,10:00,1.00,67.5,Y,2,0.02962963,2,0,0,Y,set-line,"""fish head""",fish head,NA,"""near an island""",islands (not specified),5 lines
32,8/5/23,14:06,weekend,A29,2,Y,19:30,10:30,1.00,30,Y,1,0.033333333,1,0,0,Y,set-line,"""worms""",worms,NA,"""just before White Spruce""",White Spruce,2 lines
33,8/16/23,9:00,weekday,A30,4,Y,16:30,10:00,3.00,52.5,Y,1,0.019047619,1,0,0,Y,set-line,"""trout head""",trout head,NA,"""off north end of White Spruce Island""",White Spruce,"3 nights of fishing, one fish caught"
34,8/18/23,9:40,weekday,A31,2,Y,21:00,21:40,JIG,0.7,Y,1,1.428571429,1,0,0,N,jigging,"""worms""",worms,NA,"""northeast bay - east of Black Spruce Island""",Black Spruce,
35,8/20/23,12:35,weekend,A32,2+kids,Y,7:30,"checked evening, then again morning at 6:45",2.00,93,Y,1,0.010752688,1,0,0,N,set-line,"""rainbow trout""",rainbow trout,NA,"""by the river/first big island""",Kettle Bay,"x 4 lines (one per person) Set during day, checked, then re-set overnight"
36,9/2/23,13:00,weekend,A33,2,Y,18:00,9:30,1.00,31,Y,0,0,0,0,0,N,set-line,"""rainbow trout heads""",rainbow trout heads,NA,"""off first point past Kettle Bay""",Kettle Bay,2 lines
37,9/2/23,14:00,weekend,A34,2+kids,Y,20:00,8:30,1.00,25,Y,1,0.04,1,0,0,Y,set-line,"""rainbow trout head""",rainbow trout head,NA,"""first big bay past island""",Pine,
38,9/3/23,17:00,weekend,A35,6,Y,"19:30, 08:00","08:00, 19:30",5.00,219,Y,11,0.050228311,11,0,0,N,set-line,"""rainbow trout heads and/or tails, guts""",rainbow trout heads,rainbow trout parts,"""4x in bay near Pine Island, 1-2 near White Spruce, near Fir Island at dropoff""",Pine,"Set 6 lines for 3 nights, checked then kept lines out during the day"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
