Survey number,Date,Time,day_type,Angler code,No. in party,Fishing today Y/N,Start time,End time,number of sets,Total hours,Burbot fishing Y/N,burbot caught,cpue,burbot kept,burbot released,tagged burbot caught,Sample collected Y/N,Gear,Bait,Bait 1,Bait 2,approx catch location,code- catch location,About how often do you fish for burbot at Carp Lake each year?2,At what time of day do you typically set your line?,At what time of day do you typically check your line?,"Before we began this survey, were you aware there is a burbot-tagging program happening at Carp Lake?",Likeliness to report - no reward,Likeliness to report - $100 reward,alternatives to report tagged burbot?,code- alternative tag-return methods,How long have you been fishing for burbot at Carp Lake?,Have you heard concerns about fish or fishing at Carp Lake?,code- concerns,Have you noticed any changes in burbot during the time you’ve been fishing at Carp Lake?,code- changes,Which age range do you belong to?,About how long does it take you to drive to Carp Lake from place of residence?,Are you a member of any of the following Indigenous communities?,What gender do you identify as? (one respondent per party),Highest level of education completed,What is your estimated annual household income?
4,6/25/23,10:12,weekend,A3,2,Y,22:00,10:00,1.00,12,Y,2,0.166666667,2,0,1,Y,set-line,"""northern pike & salmon eggs""",northern pike,salmon eggs,"""left of Bert's Cabin, bay in front of spruce-killed island, approx 50ft""",Kettle Bay,B,10:00,10:00,No,likely,very likely,"""reporting online, uploading info and picture""",online option,A,"""too many northern pike eating trout eggs""",fish health,"""None""",none,C,C,E,A,D,F
33,8/16/23,9:00,weekday,A30,4,Y,16:30,10:00,3.00,52.5,Y,1,0.019047619,1,0,0,Y,set-line,"""trout head""",trout head,NA,"""off north end of White Spruce Island""",White Spruce,A,17:00,08:00-10:00,Yes,neutral,very likely,NA,NA,B,"""None""",none,"""haven't fished here long enough to tell""",NA,B,B,E,B,G,F
34,8/18/23,9:40,weekday,A31,2,Y,21:00,21:40,JIG,0.7,Y,1,1.428571429,1,0,0,N,jigging,"""worms""",worms,NA,"""northeast bay - east of Black Spruce Island""",Black Spruce,A,NA,NA,Yes,likely,very likely,tagging is good for a remote park where a constant creel survey can't be done,none,A,"No, but worry about the burbot fishery because it is usually fished for food not sport, so burbot usually killed not released",overharvest or noncompliance with regulations,"""No""",none,A,B,E,B,C,D
35,8/20/23,12:35,weekend,A32,2+kids,Y,7:30,"checked evening, then again morning at 6:45",2.00,93,Y,1,0.010752688,1,0,0,N,set-line,"""rainbow trout""",rainbow trout,NA,"""by the river/first big island""",Kettle Bay,A,night,morning,Yes,very unlikely,very likely,No - money reward is good,none,D,"""No""",none,"""No - always slower in summer as it gets warm""",seasonal changes,B,B,E,B,D,G
36,9/2/23,13:00,weekend,A33,2,Y,18:00,9:30,1.00,31,Y,0,0,0,0,0,N,set-line,"""rainbow trout heads""",rainbow trout heads,NA,"""off first point past Kettle Bay""",Kettle Bay,A,18:00,early morning,No,likely,very likely,"""No""",none,A,"""No""",none,NA,NA,B,B,E,B,D,G
37,9/2/23,14:00,weekend,A34,2+kids,Y,20:00,8:30,1.00,25,Y,1,0.04,1,0,0,Y,set-line,"""rainbow trout head""",rainbow trout head,NA,"""first big bay past island""",Pine,B,night or after checking,morning,Yes,likely,very likely,"""Bigger sign with ""Please report"" """,more advertisement of study,D,heard that locals overharvested over winter - carcasses left on ice,overharvest or noncompliance with regulations,"not really - ""hit or miss""",none,B,B,C,A,D,F
38,9/3/23,17:00,weekend,A35,6,Y,"19:30, 08:00","08:00, 19:30",5.00,219,Y,11,0.050228311,11,0,0,N,set-line,"""rainbow trout heads and/or tails, guts""",rainbow trout heads,rainbow trout parts,"""4x in bay near Pine Island, 1-2 near White Spruce, near Fir Island at dropoff""",Pine,A,19:30,8:00,Yes,likely,very likely,"""drop box""",tag drop-box,B,"""No""",none,"""Bigger last year, but not really""",fish size,B,C,E,A,D,H
5,6/25/23,10:39,weekend,A4,2,Y,"""nighttime""","""morning""",4.00,96,Y,1,0.010416667,1,0,0,N,set-line,"""shrimp and sardines""",shrimp,sardines,"""White Spruce""",White Spruce,A,night,morning,Yes,"""I don't know""","""I don't know""",NA,NA,NA,NA,NA,NA,NA,C,C,E,A,C,E
6,6/25/23,13:30,weekend,A5,2,Y,5:00:00 PM THURS,09:00 SUN,3.00,64,Y,3,0.046875,3,0,0,Y,set-line + jigging 3h,"""chicken gizzards""",chicken gizzards,NA,"""off Balsam Isl""",Balsam,B,17:00,9:00,Yes,likely,likely,"""No""",none,B,"""No""",none,"""No""",none,D,B,E,B,D,D
20,7/21/23,11:30,weekday,A5,2,Y,7/18/23,7/21/23 8:00,5.00,70,Y,0,0,0,0,0,N,set-line,"""chicken gizzards""",chicken gizzards,NA,"""off Balsam Isl""",Balsam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6/25/23,14:15,weekend,A6,2,Y,16:00,21:00,3.00,46,Y,7,0.152173913,6,1,1,N,set-line,"""shrimps, prawn""",shrimps,prawn,"""White Spruce Island""",White Spruce,A,16:00,21:00,Yes,neutral,likely,NA,NA,B," ""No""",none,"""No""",none,B,C,NA,B,D,F
8,7/1/23,9:15,weekend,A7,2,Y,20:30,8:30,1.00,24,Y,1,0.041666667,1,0,1,Y,set-line,"""rainbow trout head""",rainbow trout head,NA,"""big island past bay""",Black Spruce,A,20:30,first thing in the morning,Yes,likely,very likely,"""phone number is good. Email as 2 options""",email option,D,"""No - we always come here because we know we'll have a catch""",none,"""caught 'grey' burbot, small ( ~9y ago)""",fish health,C,B,E,B,D,E
9,7/1/23,10:30,weekend,A8,3,Y,21:00,8:00,1.00,33,Y,2,0.060606061,2,0,0,Y,set-line,"""rainbow trout heads""",rainbow trout heads,NA,"""near creek""",Kettle Bay,A,evening,NA,No,very likely,very likely,NA,NA,A,"""our second fishing trip. Lots of fish""",none,NA,NA,B,B,E,B,A,E
