Net ID,Zone,Start Month,Start Datetime,End Datetime,Start Time,End Time,Method,Lat,Lon,Habitat,Sample Design,Species Code,Count Fish,BURBOT COUNT,Bait type,Bait weight (g),Depth (m),Temp (deg C),Comments/Notes,Set duration
TZ4-1329,4,10,21/10/05 14:05,21/10/06 12:50,14:05,12:50,CT,54.0713,-124.88094,BT,SR,NA,0,0,RB,200,8.9,NA,NA,22.75
TZ4-159,4,10,21/10/05 13:55,21/10/06 10:30,13:55,10:30,CT,54.07945,-124.84521,BT,SR,CCG,2,0,RB,200,4.4,NA,150m from point,20.58
TZ4-1343,4,10,21/10/05 13:50,21/10/06 10:33,13:50,10:33,CT,54.07882,-124.83746,BT,SR,NA,0,0,RB,200,4.5,NA,NA,20.72
TZ4-1422,4,10,21/10/05 13:45,21/10/06 10:36,13:45,10:36,CT,54.08034,-124.83582,BT,SR,NA,0,0,RB,200,4.2,NA,NA,20.85
TZ4-1363,4,10,21/10/05 13:30,21/10/06 10:45,13:30,10:45,CT,54.06959,-124.8274,BT,SR,NA,0,0,RB,200,8,NA,NA,21.25
TZ4-140,4,10,21/10/05 13:25,21/10/06 10:50,13:25,10:50,CT,54.06915,-124.82139,BT,SR,NA,0,0,RB,200,6.1,NA,NA,21.42
TZ4-15,4,10,21/10/05 13:20,21/10/06 10:55,13:20,10:55,CT,54.06887,-124.81937,BT,SR,NA,0,0,RB,200,6.8,NA,NA,21.58
TZ4-153,4,10,21/10/05 13:15,21/10/06 11:05,13:15,11:05,CT,54.07247,-124.80263,BT,SR,CCG,1,0,RB,200,7.3,NA,NA,21.83
TZ4-183,4,10,21/10/05 13:00,21/10/06 11:00,13:00,11:00,CT,54.07284,-124.80515,BT,SR,NA,0,0,RB,200,6.2,NA,NA,22.00
TZ3-109,3,10,21/10/04 15:30,21/10/05 15:05,15:30,15:05,CT,54.06361,-124.78044,BT,SR,NA,0,0,RB,200,9,NA,NA,23.58
TZ3-104,3,10,21/10/04 15:10,21/10/05 15:00,15:10,15:00,CT,54.06834,-124.76871,BT,SR,NA,0,0,RB,200,6,NA,Trap open/loose,23.83
TZ3-1015,3,10,21/10/04 15:05,21/10/05 14:50,15:05,14:50,CT,54.07004,-124.7598,BT,SR,NA,0,0,RB,200,6.5,NA,NA,23.75
TZ3-1071,3,10,21/10/04 14:55,21/10/05 14:45,14:55,14:45,CT,54.07111,-124.75709,BT,SR,NA,0,0,RB,200,6,NA,NA,23.83
TZ3-1009,3,10,21/10/04 14:50,21/10/05 14:35,14:50,14:35,CT,54.07513,-124.79948,BT,SR,CCG,1,0,RB,200,5.4,NA,NA,23.75
TZ3-1058,3,10,21/10/04 14:20,21/10/05 14:30,14:20,14:30,CT,54.07954,-124.80509,BT,SR,BB,1,1,RB,200,4.5,NA,NA,24.17
TZ3-1032,3,10,21/10/04 14:15,21/10/05 12:35,14:15,12:35,CT,54.08172,-124.81322,BT,SR,NSC,1,0,RB,200,3,NA,NA,22.33
TZ3-1026,3,10,21/10/04 14:05,21/10/05 12:45,14:05,12:45,CT,54.08821,-124.82257,BT,SR,NA,0,0,RB,200,2,NA,NA,22.67
TZ3-1050,3,10,21/10/04 14:00,21/10/05 12:25,14:00,12:25,CT,54.08925,-124.81429,BT,SR,CCG,1,0,RB,200,7,NA,NA,22.42
TZ3-1036,3,10,21/10/04 13:50,21/10/05 12:16,13:50,12:16,CT,54.09135,-124.80273,BT,SR,BB,1,1,RB,200,10,NA,NA,22.43
TZ3-1094,3,10,21/10/04 13:40,21/10/05 12:20,13:40,12:20,CT,54.0921,-124.77593,BT,SR,NA,0,0,RB,200,7.5,NA,NA,22.67
TZ3-1007,3,10,21/10/04 13:35,21/10/05 12:10,13:35,12:10,CT,54.08453,-124.80587,BT,SR,NA,0,0,RB,200,2,NA,NA,22.58
TZ3-1078,3,10,21/10/04 13:25,21/10/05 12:00,13:25,12:00,CT,54.10058,-124.83308,BT,SR,CCG,3,0,RB,200,4,NA,NA,22.58
TZ3-1055,3,10,21/10/04 13:20,21/10/05 11:55,13:20,11:55,CT,54.09426,-124.83788,BT,SR,NSC,1,0,RB,200,3,NA,NA,22.58
TZ3-1084,3,10,21/10/04 13:15,21/10/05 11:45,13:15,11:45,CT,54.09833,-124.84283,BT,SR,NA,0,0,RB,200,2.8,NA,NA,22.50
TZ3-1062,3,10,21/10/04 13:00,21/10/05 11:40,13:00,11:40,CT,54.100068,-124.8396,BT,SR,NA,0,0,RB,200,1.2,NA,120m off point,22.67
TZ1-83-10,1,8,21/08/04 11:41,21/08/05 12:35,11:41,12:35,CT,54.08071,-124.62388,BT,SR,NA,0,0,Herring 2 units,NA,10,NA,reset from 8/3/25,24.90
TZ1-83-7,1,8,21/08/04 11:36,21/08/05 13:01,11:36,13:01,CT,54.09454,-124.64363,BT,SR,NA,0,0,Herring 2 units,NA,10,NA,reset from 8/3/24,25.42
TZ1-83-8,1,8,21/08/04 11:33,21/08/05 12:57,11:33,12:57,CT,54.09196,-124.63544,BT,SR,NA,0,0,Herring 2 units,NA,9.5,NA,reset from 8/3/23,25.40
TZ1-83-3,1,8,21/08/04 11:29,21/08/05 12:53,11:29,12:53,CT,54.08873,-124.63477,BT,SR,CCG,1,0,Herring 2 units,NA,9.6,NA,reset from 8/3/22,25.40
TZ1-83-9,1,8,21/08/04 11:26,21/08/05 12:50,11:26,12:50,CT,54.08767,-124.63336,BT,SR,CCG,2,0,Herring 2 units,NA,10,NA,reset from 8/3/21,25.40
TZ1-83-4S,1,8,21/08/04 11:20,21/08/05 12:43,11:20,12:43,CT,54.08383,-124.634,BT,SR,BB,1,1,Herring 2 units,NA,9.7,NA,NA,25.38
TZ1-83-5S,1,8,21/08/04 11:00,21/08/05 12:39,11:00,12:39,CT,54.08189,-124.62518,BT,SR,NA,0,0,Herring 2 units,NA,10,NA,NA,25.65
TZ1-83-6S,1,8,21/08/04 10:25,21/08/05 07:47,10:25,7:47,CT,54.07019,-124.65306,BT,SR,BB,1,1,Herring 2 units,NA,9.3,20,Fish not swimming very well. Warm water temp even at 9-10m depths,21.37
TZ1-83-1S,1,8,21/08/04 09:54,21/08/05 08:12,9:54,8:12,CT,54.07586,-124.67473,BT,SR,BB,1,1,Herring 2 units,NA,10,NA,NA,22.30
TZ1-83-2S,1,8,21/08/04 09:16,21/08/05 08:04,9:16,8:04,CT,54.06979,-124.65765,BT,SR,BB,1,1,Herring 2 units,NA,9.7,20,Same temp as TZ4-83-6S,22.80
TZ1-83-10,1,8,21/08/03 17:22,21/08/04 11:43,17:22,11:43,CT,54.08071,-124.62388,BT,SR,NA,0,0,Herring 2 units,NA,10,NA,NA,18.35
TZ1-83-9,1,8,21/08/03 17:17,21/08/04 11:24,17:17,11:24,CT,54.08767,-124.63336,BT,SR,NA,0,0,Herring 2 units,NA,10,NA,NA,18.12
TZ1-83-8,1,8,21/08/03 17:11,21/08/04 11:31,17:11,11:31,CT,54.09196,-124.63544,BT,SR,CCG,1,0,Herring 2 units,NA,9.5,NA,NA,18.33
TZ1-83-7,1,8,21/08/03 17:06,21/08/04 11:36,17:06,11:36,CT,54.09454,-124.64363,BT,SR,CCG,2,0,Herring 2 units,NA,10,NA,NA,18.50
TZ1-83-6,1,8,21/08/03 16:56,21/08/04 10:00,16:56,10:00,CT,54.07862,-124.64786,BT,SR,NA,NA,0,Herring 2 units,NA,18.5,NA,Deep set. Pulled partially and moved to shallow next day.,17.07
TZ1-83-5,1,8,21/08/03 16:52,21/08/04 10:29,16:52,10:29,CT,54.07738,-124.64523,BT,SR,NA,NA,0,Herring 2 units,NA,17.8,NA,Deep set. Pulled partially and moved to shallow next day.,17.62
TZ1-83-4,1,8,21/08/03 16:31,21/08/04 11:08,16:31,11:08,CT,54.08383,-124.634,BT,SR,NA,NA,0,Herring 2 units,NA,14.9,NA,Deep set. Pulled partially and moved to shallow next day.,18.62
TZ1-83-3,1,8,21/08/03 16:24,21/08/04 11:27,16:24,11:27,CT,54.08873,-124.63477,BT,SR,NA,0,0,Herring 2 units,NA,9.6,NA,NA,19.05
TZ1-83-2,1,8,21/08/03 15:38,21/08/04 08:45,15:38,8:45,CT,54.07628,-124.65213,BT,SR,NA,NA,0,Herring 2 units,NA,18.4,NA,Deep set. Pulled partially and moved to shallow next day.,17.12
TZ1-83-1,1,8,21/08/03 15:27,21/08/04 09:20,15:27,9:20,CT,54.07998,-124.65759,BT,SR,NA,NA,0,Herring 2 units,NA,19.3,NA,Deep set. Pulled partially and moved to shallow next day.,17.88
TZ1-492M,1,7,21/07/28 17:52,21/07/29 10:13,17:52,10:13,CT,54.055936,-124.390565,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,8.7,NA,NA,16.35
TZ1-520M,1,7,21/07/28 17:31,21/07/29 10:17,17:31,10:17,CT,54.052329,-124.381063,BT,SR,CCG,2,0,Bacon/shrimp/tilapia,NA,9.6,NA,NA,16.77
TZ1-511M,1,7,21/07/28 17:24,21/07/29 10:21,17:24,10:21,CT,54.051722,-124.380445,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,9.6,NA,NA,16.95
TZ1-475M,1,7,21/07/28 17:18,21/07/29 10:28,17:18,10:28,CT,54.051294,-124.375245,BT,SR,CCG,1,0,Bacon/shrimp/tilapia,NA,8.6,NA,NA,17.17
TZ4-1045R,4,7,21/07/28 11:34,21/07/29 13:01,11:34,13:01,CT,54.03331,-124.532328,BT,SR,NA,NA,0,Bacon/shrimp/tilapia,NA,8.6,13.7,Burbot in trap to acclimate,25.45
TZ4-1321S,4,7,21/07/28 09:53,21/07/29 12:47,9:53,12:47,CT,54.042138,-124.501752,BT,SR,CCG,1,0,Bacon/shrimp/tilapia,NA,9.6,NA,NA,26.90
TZ4-1234S,4,7,21/07/28 09:30,21/07/29 12:38,9:30,12:38,CT,54.041896,-124.481175,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,9.9,NA,NA,27.13
TZ4-1316S,4,7,21/07/28 09:04,21/07/29 12:30,9:04,12:30,CT,54.034885,-124.464648,BT,SR,CCG,1,0,Bacon/shrimp/tilapia,NA,9,NA,NA,27.43
TZ4-1289S,4,7,21/07/28 08:27,21/07/29 12:21,8:27,12:21,CT,54.033967,-124.491224,BT,SR,CCG,4,0,Bacon/shrimp/tilapia,NA,9.7,NA,NA,27.90
TZ4-1183S,4,7,21/07/28 07:43,21/07/29 12:53,7:43,12:53,CT,54.03497,-124.504875,BT,SR,CCG,1,0,Bacon/shrimp/tilapia,NA,10.2,NA,NA,29.17
TZ4-1321D,4,7,21/07/27 15:32,21/07/28 09:53,15:32,9:53,CT,54.040894,-124.502513,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,16.9,10,reset,18.35
TZ4-1234D,4,7,21/07/27 15:17,21/07/28 09:30,15:17,9:30,CT,54.040413,-124.474933,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,17.7,10.5,reset,18.22
TZ4-1316D,4,7,21/07/27 15:05,21/07/28 09:09,15:05,9:09,CT,54.035796,-124.474764,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,17.5,10.1,reset,18.07
TZ4-1289D,4,7,21/07/27 14:49,21/07/28 08:27,14:49,8:27,CT,54.03557,-124.490407,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,14.2,17.5,reset,17.63
TZ4-1183D,4,7,21/07/27 14:31,21/07/28 07:43,14:31,7:43,CT,54.035642,-124.510005,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,19.3,9.6,reset,17.20
TZ4-1045S,4,7,21/07/27 13:16,21/07/28 10:01,13:16,10:01,CT,54.04257,-124.511549,BT,SR,BB,1,1,Bacon/shrimp/herring,NA,9.9,16.9,raised from 1045D,20.75
TZ4-1276S,4,7,21/07/27 13:06,21/07/28 10:16,13:06,10:16,CT,54.041962,-124.521166,BT,SR,NA,0,0,Bacon/shrimp/herring,NA,9.5,NA,raised from 1276D,21.17
TZ4-1188S,4,7,21/07/27 12:50,21/07/28 10:21,12:50,10:21,CT,54.035399,-124.524947,BT,SR,BB,1,1,Bacon/shrimp/herring,NA,9.9,16.9,raised from 1188D,21.52
TZ4-1311S,4,7,21/07/27 12:39,21/07/28 10:28,12:39,10:28,CT,54.034411,-124.525732,BT,SR,NA,0,0,Bacon/shrimp/herring,NA,9.9,NA,raised from 1311D,21.82
TZ4-1264S,4,7,21/07/27 12:25,21/07/28 10:35,12:25,10:35,CT,54.033109,-124.521731,BT,SR,NA,0,0,Bacon/shrimp/herring,NA,10,NA,raised from 1264D,22.17
TZ4-1045D,4,7,21/07/26 12:35,21/07/27 13:16,12:35,13:16,CT,54.042366,-124.511254,BT,SR,NA,NA,0,Bacon/shrimp/herring,NA,14.1,10.7,Deep set. Pulled partially and moved to shallow next day.,24.68
TZ4-1276D,4,7,21/07/26 12:24,21/07/27 13:06,12:24,13:06,CT,54.041643,-124.521311,BT,SR,NA,NA,0,Bacon/shrimp/herring,NA,14.4,13.4,Deep set. Pulled partially and moved to shallow next day.,24.70
TZ4-1188D,4,7,21/07/26 11:58,21/07/27 12:50,11:58,12:50,CT,54.035422,-124.52432,BT,SR,NA,NA,0,Bacon/shrimp/herring,NA,15.3,10.7,Deep set. Pulled partially and moved to shallow next day.,24.87
TZ4-1311D,4,7,21/07/26 11:47,21/07/27 12:39,11:47,12:39,CT,54.034139,-124.525371,BT,SR,NA,NA,0,Bacon/shrimp/herring,NA,12.2,14.1,Deep set. Pulled partially and moved to shallow next day.,24.87
TZ4-1264D,4,7,21/07/26 11:30,21/07/27 12:25,11:30,12:25,CT,54.033538,-124.522121,BT,SR,NA,NA,0,Bacon/shrimp/herring,NA,12.3,13.8,Deep set. Pulled partially and moved to shallow next day.,24.92
TZ4-1091M2,4,7,21/07/26 11:17,21/07/27 14:16,11:17,14:16,CT,54.034073,-124.514183,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,10.1,NA,moved from 1091D,26.98
TZ4-1064D,4,7,21/07/26 10:58,21/07/27 14:04,10:58,14:04,CT,54.033262,-124.532875,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,7.8,NA,checked and re-set,27.10
TZ4-1105M2,4,7,21/07/26 10:50,21/07/27 14:10,10:50,14:10,CT,54.033771,-124.525471,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,10.2,NA,moved from 1105D,27.33
TZ4-1113M2,4,7,21/07/26 10:35,21/07/27 13:38,10:35,13:38,CT,54.03562,-124.525532,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,8,NA,moved from 1113D,27.05
TZ4-1149M2,4,7,21/07/26 10:18,21/07/27 13:31,10:18,13:31,CT,54.040115,-124.525293,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,10.1,NA,moved from 1149D,27.22
TZ4-1091D,4,7,21/07/25 19:13,21/07/26 11:12,19:13,11:12,CT,54.034392,-124.514966,BT,SR,NA,NA,0,Bacon/shrimp/tilapia,NA,13.8,12,Deep set. Pulled partially and moved to shallow next day.,15.98
TZ4-1064D,4,7,21/07/25 19:00,21/07/26 10:54,19:00,10:54,CT,54.033261,-124.532874,BT,SR,NA,NA,0,Bacon/shrimp/tilapia,NA,7.8,15.5,Set shallower than 10m because temperature was <16C.,15.90
TZ4-1105D,4,7,21/07/25 18:52,21/07/26 10:40,18:52,10:40,CT,54.034131,-124.525215,BT,SR,NA,NA,0,Bacon/shrimp/tilapia,NA,12.7,12.2,Deep set. Pulled partially and moved to shallow next day.,15.80
TZ4-1113D,4,7,21/07/25 18:14,21/07/26 10:23,18:14,10:23,CT,54.035742,-124.524874,BT,SR,NA,NA,0,Bacon/shrimp/tilapia,NA,19.1,9.6,Deep set. Pulled partially and moved to shallow next day.,16.15
TZ4-1149D,4,7,21/07/25 18:00,21/07/26 10:08,18:00,10:08,CT,54.040921,-124.522825,BT,SR,NA,NA,0,Bacon/shrimp/tilapia,NA,14.6,13.7,Deep set. Pulled partially and moved to shallow next day.,16.13
TZ4-1165,4,7,21/07/25 17:26,21/07/26 09:14,17:26,9:14,CT,54.042895,-124.503702,BT,SR,NSC,1,0,Bacon/shrimp/tilapia,NA,9.6,NA,NA,15.80
TZ4-1006,4,7,21/07/25 17:11,21/07/26 09:34,17:11,9:34,CT,54.0342,-124.491533,BT,SR,NSC,1,0,Bacon/shrimp/tilapia,NA,10.4,NA,NA,16.38
TZ4-1128,4,7,21/07/25 17:08,21/07/26 09:28,17:08,9:28,CT,54.034553,-124.492209,BT,SR,NSC,1,0,Bacon/shrimp/tilapia,NA,9.8,NA,NA,16.33
TZ4-1166,4,7,21/07/25 17:01,21/07/26 09:05,17:01,9:05,CT,54.040541,-124.492759,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,8.2,17.8,NA,16.07
TZ4-1155,4,7,21/07/25 16:56,21/07/26 08:54,16:56,8:54,CT,54.041786,-124.490427,BT,SR,NA,0,0,Bacon/shrimp/tilapia,NA,8.3,NA,NA,15.97
TZ2-1283M,2,7,21/07/24 11:59,21/07/25 09:16,11:59,9:16,CT,54.051394,-124.442217,BT,SR,NA,0,0,steelhead,NA,10.1,NA,NA,21.28
TZ2-1297M,2,7,21/07/24 11:46,21/07/25 09:26,11:46,9:26,CT,54.042754,-124.432299,BT,SR,NA,0,0,steelhead,NA,7.8,NA,NA,21.67
TZ2-1267M,2,7,21/07/24 11:35,21/07/25 09:50,11:35,9:50,CT,54.042783,-124.425969,BT,SR,NA,0,0,steelhead,NA,10.2,NA,NA,22.25
TZ2-1350M,2,7,21/07/24 11:28,21/07/25 09:57,11:28,9:57,CT,54.04321,-124.422021,BT,SR,CCG,1,0,steelhead,NA,9.3,NA,NA,22.48
TZ2-1342M,2,7,21/07/24 11:23,21/07/25 10:04,11:23,10:04,CT,54.044377,-124.413047,BT,SR,CCG,1,0,steelhead,NA,9.8,NA,NA,22.68
TZ2-1366M,2,7,21/07/24 11:15,21/07/25 10:52,11:15,10:52,CT,54.043674,-124.40384,BT,SR,CCG,1,0,steelhead,NA,8.8,NA,NA,23.62
TZ2-1376M,2,7,21/07/24 11:06,21/07/25 10:57,11:06,10:57,CT,54.043601,-124.402804,BT,SR,CCG,1,0,steelhead,NA,10.5,NA,NA,23.85
TZ2-1136M,2,7,21/07/23 11:41,21/07/24 10:39,11:41,10:39,CT,54.06311,-124.413938,BT,SR,NA,0,0,WF+ steelhead,NA,7.5,NA,"reset, added 1x steelhead filet (store-bought)",22.97
TZ2-1004M,2,7,21/07/23 11:36,21/07/24 10:30,11:36,10:30,CT,54.062123,-124.420103,BT,SR,NA,0,0,RB+ steelhead,NA,8.8,NA,"reset, added 1x steelhead filet (store-bought)",22.90
TZ2-1140M,2,7,21/07/23 11:27,21/07/24 10:24,11:27,10:24,CT,54.061277,-124.422379,BT,SR,NA,0,0,RB+ steelhead,NA,7.3,NA,"reset, added 1x steelhead filet (store-bought)",22.95
TZ2-1087M,2,7,21/07/23 11:19,21/07/24 10:16,11:19,10:16,CT,54.060574,-124.430435,BT,SR,CCG,2,0,RB+ steelhead,NA,8.9,NA,"reset, added 1x steelhead filet (store-bought)",22.95
TZ2-1249M,2,7,21/07/23 11:10,21/07/24 10:10,11:10,10:10,CT,54.053912,-124.433128,BT,SR,NA,0,0,RB+ steelhead,NA,6.3,NA,"reset, added 1x steelhead filet (store-bought)",23.00
TZ2-1098M,2,7,21/07/23 11:03,21/07/24 10:02,11:03,10:02,CT,54.051669,-124.435972,BT,SR,NA,0,0,RB+ steelhead,NA,8.9,NA,"reset, added 1x steelhead filet (store-bought)",22.98
TZ2-1124M,2,7,21/07/23 10:54,21/07/24 09:57,10:54,9:57,CT,54.054928,-124.432633,BT,SR,NA,0,0,RB,NA,8.6,NA,"reset, same location. Added more RB bait",23.05
TZ2-1000M,2,7,21/07/22 10:45,NA,10:45,NA,CT,54.062138,-124.405211,BT,SR,NA,NA,0,WF + chicken liver,NA,not recorded,NA,STOLEN/MISSING,#VALUE!
TZ2-1136M,2,7,21/07/22 10:38,21/07/23 11:40,10:38,11:40,CT,54.06312,-124.413942,BT,SR,CCG,1,0,WF,NA,7.5,NA,NA,25.03
TZ2-1004M,2,7,21/07/22 10:32,21/07/23 11:30,10:32,11:30,CT,54.062123,-124.420103,BT,SR,NA,0,0,RB+ chicken liver,NA,8.8,NA,NA,24.97
