Floy tag ID,spr22,harv22,fall22,spr23,harv23,tag type ,recovery method,comment
7287,0,0,0,1,0,R,not recovered,
7289,0,0,0,1,0,R,not recovered,
7311,0,0,1,0,0,R,not recovered,
7315,0,0,0,1,0,R,not recovered,
7316,0,0,0,1,0,R,not recovered,
7317,0,0,0,1,0,R,not recovered,
7319,0,0,0,1,0,R,not recovered,
7321,0,0,0,1,0,R,not recovered,
7322,0,0,0,1,0,R,not recovered,
7324,0,0,0,1,0,R,not recovered,
7325,0,0,0,1,0,R,not recovered,
7326,0,0,0,1,0,R,not recovered,
7327,0,0,0,1,0,R,not recovered,
7329,0,0,0,1,0,R,not recovered,
7330,0,0,0,1,0,R,not recovered,
7331,0,0,0,1,0,R,not recovered,
7332,0,0,0,1,0,R,not recovered,
7371,1,0,0,0,0,R,not recovered,
7373,1,0,0,0,0,R,not recovered,
7375,1,0,0,0,0,R,not recovered,
7377,1,0,0,0,0,R,not recovered,
7378,1,0,0,0,0,R,not recovered,
7379,1,0,0,0,0,R,not recovered,
7380,1,0,0,0,0,R,not recovered,
7382,1,0,0,0,0,R,not recovered,
7383,1,0,0,0,0,R,not recovered,
7384,1,0,0,0,0,S,not recovered,
7386,1,0,0,0,0,R,not recovered,
7387,1,0,0,0,0,R,not recovered,
7388,1,0,0,0,0,R,not recovered,
7389,1,0,0,0,0,R,not recovered,
7390,1,0,0,0,0,R,not recovered,
7391,1,0,0,0,0,R,not recovered,
7392,1,0,0,0,0,R,not recovered,
7393,1,0,0,0,0,R,not recovered,
7394,1,0,0,0,0,R,not recovered,
7396,1,0,0,0,0,R,not recovered,
7398,1,0,0,0,0,R,not recovered,
7400,0,0,1,0,0,R,not recovered,
7401,0,0,1,0,0,R,not recovered,
7402,0,0,1,0,0,R,not recovered,
7404,0,0,1,0,0,R,not recovered,
7405,0,0,1,0,0,R,not recovered,
7406,0,0,1,0,0,R,not recovered,
7407,0,0,1,0,0,R,not recovered,
7408,0,0,1,0,0,R,not recovered,
7409,0,0,1,0,0,R,not recovered,
7410,0,0,1,0,0,R,not recovered,
7413,0,0,0,1,0,R,not recovered,
7414,0,0,0,1,0,R,not recovered,
7415,0,0,0,1,0,R,not recovered,
7416,0,0,0,1,0,R,not recovered,
7417,0,0,0,1,0,R,not recovered,
7419,0,0,0,1,0,R,not recovered,
7422,0,0,0,1,0,R,not recovered,
7423,0,0,0,1,0,R,not recovered,
7424,0,0,0,1,0,R,not recovered,
7425,0,0,0,1,0,R,not recovered,
7426,0,0,0,1,0,R,not recovered,
7426,0,0,0,1,0,R,not recovered,
7427,0,0,0,1,0,R,not recovered,
7429,0,0,0,1,0,R,not recovered,
7431,0,0,0,1,0,R,not recovered,
7432,0,0,0,1,0,R,not recovered,
7433,0,0,0,1,0,R,not recovered,
7435,0,0,0,1,0,R,not recovered,
7461,1,0,0,0,0,S,not recovered,
7462,1,0,0,0,0,S,not recovered,
7463,1,0,0,0,0,S,not recovered,
7464,1,0,0,0,0,S,not recovered,
7466,1,0,0,0,0,S,not recovered,
7467,1,0,0,0,0,S,not recovered,
7468,1,0,0,0,0,S,not recovered,
7469,1,0,0,0,0,S,not recovered,
7483,1,0,0,0,0,S,not recovered,
7484,1,0,0,0,0,S,not recovered,
7485,1,0,0,0,0,S,not recovered,
7486,0,0,0,1,0,S,not recovered,
7487,0,0,0,1,0,S,not recovered,
7488,0,0,0,1,0,S,not recovered,
7489,0,0,0,1,0,S,not recovered,
7491,0,0,0,1,0,S,not recovered,
7492,0,0,0,1,0,S,not recovered,
7494,0,0,0,1,0,S,not recovered,
7495,0,0,0,1,0,S,not recovered,
7497,0,0,0,1,0,S,not recovered,
7498,0,0,0,1,0,S,not recovered,
7499,0,0,0,1,0,S,not recovered,
7502,0,0,0,1,0,S,not recovered,
7504,0,0,0,1,0,S,not recovered,
7505,0,0,0,1,0,S,not recovered,
7506,0,0,0,1,0,S,not recovered,
7507,0,0,0,1,0,S,not recovered,
7508,0,0,0,1,0,S,not recovered,
7509,0,0,0,1,0,S,not recovered,
7512,0,0,0,1,0,S,not recovered,
7513,0,0,0,1,0,S,not recovered,
7516,0,0,0,1,0,S,not recovered,
7519,0,0,0,1,0,S,not recovered,
7520,0,0,0,1,0,S,not recovered,
7521,0,0,0,1,0,S,not recovered,
7522,0,0,0,1,0,S,not recovered,
7523,0,0,0,1,0,S,not recovered,
7524,0,0,0,1,0,S,not recovered,
7525,0,0,0,1,0,S,not recovered,
7526,0,0,0,1,0,S,not recovered,
7527,0,0,0,1,0,S,not recovered,
7528,0,0,0,1,0,S,not recovered,
7530,0,0,0,1,0,S,not recovered,
7531,0,0,0,1,0,S,not recovered,
7533,0,0,0,1,0,S,not recovered,
7534,0,0,0,1,0,S,not recovered,
7535,0,0,0,1,0,S,not recovered,
7561,1,0,0,0,0,S,not recovered,
7562,1,0,0,0,0,S,not recovered,
7564,1,0,0,0,0,S,not recovered,
7565,1,0,0,0,0,S,not recovered,
7566,1,0,0,0,0,S,not recovered,
7567,1,0,0,0,0,S,not recovered,
7569,1,0,0,0,0,S,not recovered,
7571,1,0,0,0,0,S,not recovered,
7572,1,0,0,0,0,S,not recovered,
7575,1,0,0,0,0,S,not recovered,
7576,1,0,0,0,0,S,not recovered,
7577,1,0,0,0,0,S,not recovered,
7578,1,0,0,0,0,S,not recovered,
7580,1,0,0,0,0,S,not recovered,
7581,1,0,0,0,0,S,not recovered,
7582,1,0,0,0,0,S,not recovered,
7583,1,0,0,0,0,S,not recovered,
7585,1,0,0,0,0,S,not recovered,
7586,1,0,0,0,0,S,not recovered,
7587,1,0,0,0,0,S,not recovered,
7589,0,0,1,0,0,S,not recovered,
7590,0,0,1,0,0,S,not recovered,
7592,0,0,1,0,0,S,not recovered,
7593,0,0,1,0,0,S,not recovered,
7597,0,0,1,0,0,S,not recovered,
7598,0,0,1,0,0,S,not recovered,
7599,0,0,1,0,0,S,not recovered,
7600,0,0,1,0,0,S,not recovered,
7601,0,0,1,0,0,S,not recovered,
7602,0,0,1,0,0,S,not recovered,
7603,0,0,0,1,0,S,not recovered,
7606,0,0,0,1,0,S,not recovered,
7607,0,0,0,1,0,S,not recovered,
7609,0,0,0,1,0,S,not recovered,
7610,0,0,0,1,0,S,not recovered,
7611,0,0,0,1,0,S,not recovered,
7612,0,0,0,1,0,S,not recovered,
7613,0,0,0,1,0,S,not recovered,
7614,0,0,0,1,0,S,not recovered,
7616,0,0,0,1,0,S,not recovered,
7617,0,0,0,1,0,S,not recovered,
7629,0,0,0,1,0,S,not recovered,
7630,0,0,0,1,0,S,not recovered,
7632,0,0,0,1,0,S,not recovered,
7633,0,0,0,1,0,S,not recovered,
7634,0,0,0,1,0,S,not recovered,
7635,0,0,0,1,0,S,not recovered,
